Starting Part 2 suite 'geometry' in /home/jacopominniti_sakana_ai/id-features
Results: results/part2-geometry-169194
Controls: D=32 m=256 modules=8 k={2,4,8} N={4096,16384} repeats=5 ranks<=64
[1/150] part2-geometry complete: repeat=1/5; coherence=0; k=2; N=4096
[2/150] part2-geometry complete: repeat=1/5; coherence=0; k=2; N=16384
[3/150] part2-geometry complete: repeat=1/5; coherence=0; k=4; N=4096
[4/150] part2-geometry complete: repeat=1/5; coherence=0; k=4; N=16384
[5/150] part2-geometry complete: repeat=1/5; coherence=0; k=8; N=4096
[6/150] part2-geometry complete: repeat=1/5; coherence=0; k=8; N=16384
[7/150] part2-geometry complete: repeat=1/5; coherence=0.25; k=2; N=4096
[8/150] part2-geometry complete: repeat=1/5; coherence=0.25; k=2; N=16384
[9/150] part2-geometry complete: repeat=1/5; coherence=0.25; k=4; N=4096
[10/150] part2-geometry complete: repeat=1/5; coherence=0.25; k=4; N=16384
[11/150] part2-geometry complete: repeat=1/5; coherence=0.25; k=8; N=4096
[12/150] part2-geometry complete: repeat=1/5; coherence=0.25; k=8; N=16384
[13/150] part2-geometry complete: repeat=1/5; coherence=0.5; k=2; N=4096
[14/150] part2-geometry complete: repeat=1/5; coherence=0.5; k=2; N=16384
[15/150] part2-geometry complete: repeat=1/5; coherence=0.5; k=4; N=4096
[16/150] part2-geometry complete: repeat=1/5; coherence=0.5; k=4; N=16384
[17/150] part2-geometry complete: repeat=1/5; coherence=0.5; k=8; N=4096
[18/150] part2-geometry complete: repeat=1/5; coherence=0.5; k=8; N=16384
[19/150] part2-geometry complete: repeat=1/5; coherence=0.75; k=2; N=4096
[20/150] part2-geometry complete: repeat=1/5; coherence=0.75; k=2; N=16384
[21/150] part2-geometry complete: repeat=1/5; coherence=0.75; k=4; N=4096
[22/150] part2-geometry complete: repeat=1/5; coherence=0.75; k=4; N=16384
[23/150] part2-geometry complete: repeat=1/5; coherence=0.75; k=8; N=4096
[24/150] part2-geometry complete: repeat=1/5; coherence=0.75; k=8; N=16384
[25/150] part2-geometry complete: repeat=1/5; coherence=0.9; k=2; N=4096
[26/150] part2-geometry complete: repeat=1/5; coherence=0.9; k=2; N=16384
[27/150] part2-geometry complete: repeat=1/5; coherence=0.9; k=4; N=4096
[28/150] part2-geometry complete: repeat=1/5; coherence=0.9; k=4; N=16384
[29/150] part2-geometry complete: repeat=1/5; coherence=0.9; k=8; N=4096
[30/150] part2-geometry complete: repeat=1/5; coherence=0.9; k=8; N=16384
[31/150] part2-geometry complete: repeat=2/5; coherence=0; k=2; N=4096
[32/150] part2-geometry complete: repeat=2/5; coherence=0; k=2; N=16384
[33/150] part2-geometry complete: repeat=2/5; coherence=0; k=4; N=4096
[34/150] part2-geometry complete: repeat=2/5; coherence=0; k=4; N=16384
[35/150] part2-geometry complete: repeat=2/5; coherence=0; k=8; N=4096
[36/150] part2-geometry complete: repeat=2/5; coherence=0; k=8; N=16384
[37/150] part2-geometry complete: repeat=2/5; coherence=0.25; k=2; N=4096
[38/150] part2-geometry complete: repeat=2/5; coherence=0.25; k=2; N=16384
[39/150] part2-geometry complete: repeat=2/5; coherence=0.25; k=4; N=4096
[40/150] part2-geometry complete: repeat=2/5; coherence=0.25; k=4; N=16384
[41/150] part2-geometry complete: repeat=2/5; coherence=0.25; k=8; N=4096
[42/150] part2-geometry complete: repeat=2/5; coherence=0.25; k=8; N=16384
[43/150] part2-geometry complete: repeat=2/5; coherence=0.5; k=2; N=4096
[44/150] part2-geometry complete: repeat=2/5; coherence=0.5; k=2; N=16384
[45/150] part2-geometry complete: repeat=2/5; coherence=0.5; k=4; N=4096
[46/150] part2-geometry complete: repeat=2/5; coherence=0.5; k=4; N=16384
[47/150] part2-geometry complete: repeat=2/5; coherence=0.5; k=8; N=4096
[48/150] part2-geometry complete: repeat=2/5; coherence=0.5; k=8; N=16384
[49/150] part2-geometry complete: repeat=2/5; coherence=0.75; k=2; N=4096
[50/150] part2-geometry complete: repeat=2/5; coherence=0.75; k=2; N=16384
[51/150] part2-geometry complete: repeat=2/5; coherence=0.75; k=4; N=4096
[52/150] part2-geometry complete: repeat=2/5; coherence=0.75; k=4; N=16384
[53/150] part2-geometry complete: repeat=2/5; coherence=0.75; k=8; N=4096
[54/150] part2-geometry complete: repeat=2/5; coherence=0.75; k=8; N=16384
[55/150] part2-geometry complete: repeat=2/5; coherence=0.9; k=2; N=4096
[56/150] part2-geometry complete: repeat=2/5; coherence=0.9; k=2; N=16384
[57/150] part2-geometry complete: repeat=2/5; coherence=0.9; k=4; N=4096
[58/150] part2-geometry complete: repeat=2/5; coherence=0.9; k=4; N=16384
[59/150] part2-geometry complete: repeat=2/5; coherence=0.9; k=8; N=4096
[60/150] part2-geometry complete: repeat=2/5; coherence=0.9; k=8; N=16384
