Starting Part 2 suite 'noise' in /home/jacopominniti_sakana_ai/id-features
Results: results/part2-noise-169194
Controls: D=32 m=256 modules=8 k={2,4,8} N={4096,16384} repeats=5 ranks<=64
[1/120] part2-noise complete: repeat=1/5; noise=0; k=2; N=4096
[2/120] part2-noise complete: repeat=1/5; noise=0; k=2; N=16384
[3/120] part2-noise complete: repeat=1/5; noise=0; k=4; N=4096
[4/120] part2-noise complete: repeat=1/5; noise=0; k=4; N=16384
[5/120] part2-noise complete: repeat=1/5; noise=0; k=8; N=4096
[6/120] part2-noise complete: repeat=1/5; noise=0; k=8; N=16384
[7/120] part2-noise complete: repeat=1/5; noise=0.01; k=2; N=4096
[8/120] part2-noise complete: repeat=1/5; noise=0.01; k=2; N=16384
[9/120] part2-noise complete: repeat=1/5; noise=0.01; k=4; N=4096
[10/120] part2-noise complete: repeat=1/5; noise=0.01; k=4; N=16384
[11/120] part2-noise complete: repeat=1/5; noise=0.01; k=8; N=4096
[12/120] part2-noise complete: repeat=1/5; noise=0.01; k=8; N=16384
[13/120] part2-noise complete: repeat=1/5; noise=0.05; k=2; N=4096
[14/120] part2-noise complete: repeat=1/5; noise=0.05; k=2; N=16384
[15/120] part2-noise complete: repeat=1/5; noise=0.05; k=4; N=4096
[16/120] part2-noise complete: repeat=1/5; noise=0.05; k=4; N=16384
[17/120] part2-noise complete: repeat=1/5; noise=0.05; k=8; N=4096
[18/120] part2-noise complete: repeat=1/5; noise=0.05; k=8; N=16384
[19/120] part2-noise complete: repeat=1/5; noise=0.2; k=2; N=4096
[20/120] part2-noise complete: repeat=1/5; noise=0.2; k=2; N=16384
[21/120] part2-noise complete: repeat=1/5; noise=0.2; k=4; N=4096
[22/120] part2-noise complete: repeat=1/5; noise=0.2; k=4; N=16384
[23/120] part2-noise complete: repeat=1/5; noise=0.2; k=8; N=4096
[24/120] part2-noise complete: repeat=1/5; noise=0.2; k=8; N=16384
[25/120] part2-noise complete: repeat=2/5; noise=0; k=2; N=4096
[26/120] part2-noise complete: repeat=2/5; noise=0; k=2; N=16384
[27/120] part2-noise complete: repeat=2/5; noise=0; k=4; N=4096
[28/120] part2-noise complete: repeat=2/5; noise=0; k=4; N=16384
[29/120] part2-noise complete: repeat=2/5; noise=0; k=8; N=4096
[30/120] part2-noise complete: repeat=2/5; noise=0; k=8; N=16384
[31/120] part2-noise complete: repeat=2/5; noise=0.01; k=2; N=4096
[32/120] part2-noise complete: repeat=2/5; noise=0.01; k=2; N=16384
[33/120] part2-noise complete: repeat=2/5; noise=0.01; k=4; N=4096
[34/120] part2-noise complete: repeat=2/5; noise=0.01; k=4; N=16384
[35/120] part2-noise complete: repeat=2/5; noise=0.01; k=8; N=4096
[36/120] part2-noise complete: repeat=2/5; noise=0.01; k=8; N=16384
[37/120] part2-noise complete: repeat=2/5; noise=0.05; k=2; N=4096
[38/120] part2-noise complete: repeat=2/5; noise=0.05; k=2; N=16384
[39/120] part2-noise complete: repeat=2/5; noise=0.05; k=4; N=4096
[40/120] part2-noise complete: repeat=2/5; noise=0.05; k=4; N=16384
[41/120] part2-noise complete: repeat=2/5; noise=0.05; k=8; N=4096
[42/120] part2-noise complete: repeat=2/5; noise=0.05; k=8; N=16384
[43/120] part2-noise complete: repeat=2/5; noise=0.2; k=2; N=4096
[44/120] part2-noise complete: repeat=2/5; noise=0.2; k=2; N=16384
[45/120] part2-noise complete: repeat=2/5; noise=0.2; k=4; N=4096
[46/120] part2-noise complete: repeat=2/5; noise=0.2; k=4; N=16384
[47/120] part2-noise complete: repeat=2/5; noise=0.2; k=8; N=4096
[48/120] part2-noise complete: repeat=2/5; noise=0.2; k=8; N=16384
[49/120] part2-noise complete: repeat=3/5; noise=0; k=2; N=4096
[50/120] part2-noise complete: repeat=3/5; noise=0; k=2; N=16384
[51/120] part2-noise complete: repeat=3/5; noise=0; k=4; N=4096
[52/120] part2-noise complete: repeat=3/5; noise=0; k=4; N=16384
[53/120] part2-noise complete: repeat=3/5; noise=0; k=8; N=4096
[54/120] part2-noise complete: repeat=3/5; noise=0; k=8; N=16384
[55/120] part2-noise complete: repeat=3/5; noise=0.01; k=2; N=4096
[56/120] part2-noise complete: repeat=3/5; noise=0.01; k=2; N=16384
[57/120] part2-noise complete: repeat=3/5; noise=0.01; k=4; N=4096
[58/120] part2-noise complete: repeat=3/5; noise=0.01; k=4; N=16384
[59/120] part2-noise complete: repeat=3/5; noise=0.01; k=8; N=4096
[60/120] part2-noise complete: repeat=3/5; noise=0.01; k=8; N=16384
[61/120] part2-noise complete: repeat=3/5; noise=0.05; k=2; N=4096
[62/120] part2-noise complete: repeat=3/5; noise=0.05; k=2; N=16384
[63/120] part2-noise complete: repeat=3/5; noise=0.05; k=4; N=4096
[64/120] part2-noise complete: repeat=3/5; noise=0.05; k=4; N=16384
[65/120] part2-noise complete: repeat=3/5; noise=0.05; k=8; N=4096
[66/120] part2-noise complete: repeat=3/5; noise=0.05; k=8; N=16384
[67/120] part2-noise complete: repeat=3/5; noise=0.2; k=2; N=4096
[68/120] part2-noise complete: repeat=3/5; noise=0.2; k=2; N=16384
[69/120] part2-noise complete: repeat=3/5; noise=0.2; k=4; N=4096
[70/120] part2-noise complete: repeat=3/5; noise=0.2; k=4; N=16384
[71/120] part2-noise complete: repeat=3/5; noise=0.2; k=8; N=4096
[72/120] part2-noise complete: repeat=3/5; noise=0.2; k=8; N=16384
[73/120] part2-noise complete: repeat=4/5; noise=0; k=2; N=4096
[74/120] part2-noise complete: repeat=4/5; noise=0; k=2; N=16384
[75/120] part2-noise complete: repeat=4/5; noise=0; k=4; N=4096
[76/120] part2-noise complete: repeat=4/5; noise=0; k=4; N=16384
[77/120] part2-noise complete: repeat=4/5; noise=0; k=8; N=4096
[78/120] part2-noise complete: repeat=4/5; noise=0; k=8; N=16384
[79/120] part2-noise complete: repeat=4/5; noise=0.01; k=2; N=4096
[80/120] part2-noise complete: repeat=4/5; noise=0.01; k=2; N=16384
[81/120] part2-noise complete: repeat=4/5; noise=0.01; k=4; N=4096
[82/120] part2-noise complete: repeat=4/5; noise=0.01; k=4; N=16384
[83/120] part2-noise complete: repeat=4/5; noise=0.01; k=8; N=4096
[84/120] part2-noise complete: repeat=4/5; noise=0.01; k=8; N=16384
[85/120] part2-noise complete: repeat=4/5; noise=0.05; k=2; N=4096
[86/120] part2-noise complete: repeat=4/5; noise=0.05; k=2; N=16384
[87/120] part2-noise complete: repeat=4/5; noise=0.05; k=4; N=4096
[88/120] part2-noise complete: repeat=4/5; noise=0.05; k=4; N=16384
[89/120] part2-noise complete: repeat=4/5; noise=0.05; k=8; N=4096
[90/120] part2-noise complete: repeat=4/5; noise=0.05; k=8; N=16384
[91/120] part2-noise complete: repeat=4/5; noise=0.2; k=2; N=4096
[92/120] part2-noise complete: repeat=4/5; noise=0.2; k=2; N=16384
[93/120] part2-noise complete: repeat=4/5; noise=0.2; k=4; N=4096
[94/120] part2-noise complete: repeat=4/5; noise=0.2; k=4; N=16384
[95/120] part2-noise complete: repeat=4/5; noise=0.2; k=8; N=4096
[96/120] part2-noise complete: repeat=4/5; noise=0.2; k=8; N=16384
[97/120] part2-noise complete: repeat=5/5; noise=0; k=2; N=4096
[98/120] part2-noise complete: repeat=5/5; noise=0; k=2; N=16384
[99/120] part2-noise complete: repeat=5/5; noise=0; k=4; N=4096
[100/120] part2-noise complete: repeat=5/5; noise=0; k=4; N=16384
[101/120] part2-noise complete: repeat=5/5; noise=0; k=8; N=4096
[102/120] part2-noise complete: repeat=5/5; noise=0; k=8; N=16384
[103/120] part2-noise complete: repeat=5/5; noise=0.01; k=2; N=4096
[104/120] part2-noise complete: repeat=5/5; noise=0.01; k=2; N=16384
[105/120] part2-noise complete: repeat=5/5; noise=0.01; k=4; N=4096
[106/120] part2-noise complete: repeat=5/5; noise=0.01; k=4; N=16384
[107/120] part2-noise complete: repeat=5/5; noise=0.01; k=8; N=4096
[108/120] part2-noise complete: repeat=5/5; noise=0.01; k=8; N=16384
[109/120] part2-noise complete: repeat=5/5; noise=0.05; k=2; N=4096
[110/120] part2-noise complete: repeat=5/5; noise=0.05; k=2; N=16384
[111/120] part2-noise complete: repeat=5/5; noise=0.05; k=4; N=4096
[112/120] part2-noise complete: repeat=5/5; noise=0.05; k=4; N=16384
[113/120] part2-noise complete: repeat=5/5; noise=0.05; k=8; N=4096
[114/120] part2-noise complete: repeat=5/5; noise=0.05; k=8; N=16384
[115/120] part2-noise complete: repeat=5/5; noise=0.2; k=2; N=4096
[116/120] part2-noise complete: repeat=5/5; noise=0.2; k=2; N=16384
[117/120] part2-noise complete: repeat=5/5; noise=0.2; k=4; N=4096
[118/120] part2-noise complete: repeat=5/5; noise=0.2; k=4; N=16384
[119/120] part2-noise complete: repeat=5/5; noise=0.2; k=8; N=4096
[120/120] part2-noise complete: repeat=5/5; noise=0.2; k=8; N=16384
Wrote results to results/part2-noise-169194
Wrote results/part2-noise-169194/overview.png
Read results/part2-noise-169194/interpretation.md after inspecting gride_profiles.csv.
