Starting Part 2 suite 'combined' in /home/jacopominniti_sakana_ai/id-features
Results: results/part2-combined-169194
Controls: D=32 m=256 modules=8 k={2,4,8} N={4096,16384} repeats=5 ranks<=64
[1/210] part2-combined complete: repeat=1/5; baseline; k=2; N=4096
[2/210] part2-combined complete: repeat=1/5; baseline; k=2; N=16384
[3/210] part2-combined complete: repeat=1/5; baseline; k=4; N=4096
[4/210] part2-combined complete: repeat=1/5; baseline; k=4; N=16384
[5/210] part2-combined complete: repeat=1/5; baseline; k=8; N=4096
[6/210] part2-combined complete: repeat=1/5; baseline; k=8; N=16384
[7/210] part2-combined complete: repeat=1/5; modular_support; k=2; N=4096
[8/210] part2-combined complete: repeat=1/5; modular_support; k=2; N=16384
[9/210] part2-combined complete: repeat=1/5; modular_support; k=4; N=4096
[10/210] part2-combined complete: repeat=1/5; modular_support; k=4; N=16384
[11/210] part2-combined complete: repeat=1/5; modular_support; k=8; N=4096
[12/210] part2-combined complete: repeat=1/5; modular_support; k=8; N=16384
[13/210] part2-combined complete: repeat=1/5; zipf_frequencies; k=2; N=4096
[14/210] part2-combined complete: repeat=1/5; zipf_frequencies; k=2; N=16384
[15/210] part2-combined complete: repeat=1/5; zipf_frequencies; k=4; N=4096
[16/210] part2-combined complete: repeat=1/5; zipf_frequencies; k=4; N=16384
[17/210] part2-combined complete: repeat=1/5; zipf_frequencies; k=8; N=4096
[18/210] part2-combined complete: repeat=1/5; zipf_frequencies; k=8; N=16384
[19/210] part2-combined complete: repeat=1/5; shared_amplitudes; k=2; N=4096
[20/210] part2-combined complete: repeat=1/5; shared_amplitudes; k=2; N=16384
[21/210] part2-combined complete: repeat=1/5; shared_amplitudes; k=4; N=4096
[22/210] part2-combined complete: repeat=1/5; shared_amplitudes; k=4; N=16384
[23/210] part2-combined complete: repeat=1/5; shared_amplitudes; k=8; N=4096
[24/210] part2-combined complete: repeat=1/5; shared_amplitudes; k=8; N=16384
[25/210] part2-combined complete: repeat=1/5; coherent_geometry; k=2; N=4096
[26/210] part2-combined complete: repeat=1/5; coherent_geometry; k=2; N=16384
[27/210] part2-combined complete: repeat=1/5; coherent_geometry; k=4; N=4096
[28/210] part2-combined complete: repeat=1/5; coherent_geometry; k=4; N=16384
[29/210] part2-combined complete: repeat=1/5; coherent_geometry; k=8; N=4096
[30/210] part2-combined complete: repeat=1/5; coherent_geometry; k=8; N=16384
[31/210] part2-combined complete: repeat=1/5; llm_like; k=2; N=4096
[32/210] part2-combined complete: repeat=1/5; llm_like; k=2; N=16384
[33/210] part2-combined complete: repeat=1/5; llm_like; k=4; N=4096
[34/210] part2-combined complete: repeat=1/5; llm_like; k=4; N=16384
[35/210] part2-combined complete: repeat=1/5; llm_like; k=8; N=4096
[36/210] part2-combined complete: repeat=1/5; llm_like; k=8; N=16384
[37/210] part2-combined complete: repeat=1/5; llm_like_exact_shared; k=2; N=4096
[38/210] part2-combined complete: repeat=1/5; llm_like_exact_shared; k=2; N=16384
[39/210] part2-combined complete: repeat=1/5; llm_like_exact_shared; k=4; N=4096
[40/210] part2-combined complete: repeat=1/5; llm_like_exact_shared; k=4; N=16384
[41/210] part2-combined complete: repeat=1/5; llm_like_exact_shared; k=8; N=4096
[42/210] part2-combined complete: repeat=1/5; llm_like_exact_shared; k=8; N=16384
[43/210] part2-combined complete: repeat=2/5; baseline; k=2; N=4096
[44/210] part2-combined complete: repeat=2/5; baseline; k=2; N=16384
[45/210] part2-combined complete: repeat=2/5; baseline; k=4; N=4096
[46/210] part2-combined complete: repeat=2/5; baseline; k=4; N=16384
[47/210] part2-combined complete: repeat=2/5; baseline; k=8; N=4096
[48/210] part2-combined complete: repeat=2/5; baseline; k=8; N=16384
[49/210] part2-combined complete: repeat=2/5; modular_support; k=2; N=4096
[50/210] part2-combined complete: repeat=2/5; modular_support; k=2; N=16384
[51/210] part2-combined complete: repeat=2/5; modular_support; k=4; N=4096
[52/210] part2-combined complete: repeat=2/5; modular_support; k=4; N=16384
[53/210] part2-combined complete: repeat=2/5; modular_support; k=8; N=4096
[54/210] part2-combined complete: repeat=2/5; modular_support; k=8; N=16384
[55/210] part2-combined complete: repeat=2/5; zipf_frequencies; k=2; N=4096
[56/210] part2-combined complete: repeat=2/5; zipf_frequencies; k=2; N=16384
[57/210] part2-combined complete: repeat=2/5; zipf_frequencies; k=4; N=4096
[58/210] part2-combined complete: repeat=2/5; zipf_frequencies; k=4; N=16384
[59/210] part2-combined complete: repeat=2/5; zipf_frequencies; k=8; N=4096
[60/210] part2-combined complete: repeat=2/5; zipf_frequencies; k=8; N=16384
[61/210] part2-combined complete: repeat=2/5; shared_amplitudes; k=2; N=4096
[62/210] part2-combined complete: repeat=2/5; shared_amplitudes; k=2; N=16384
[63/210] part2-combined complete: repeat=2/5; shared_amplitudes; k=4; N=4096
[64/210] part2-combined complete: repeat=2/5; shared_amplitudes; k=4; N=16384
[65/210] part2-combined complete: repeat=2/5; shared_amplitudes; k=8; N=4096
[66/210] part2-combined complete: repeat=2/5; shared_amplitudes; k=8; N=16384
[67/210] part2-combined complete: repeat=2/5; coherent_geometry; k=2; N=4096
[68/210] part2-combined complete: repeat=2/5; coherent_geometry; k=2; N=16384
